codigo_de_categoria_principal_2;prod;cod_clase;clase
90121500;Agentes de viajes ;901215;Agentes de viajes
90121502;Agencias de viajes;901215;Agentes de viajes
90141700;Deportes aficionados y recreacionales;901417;Deportes aficionados y recreacionales
90151800;Carnavales y ferias ;901518;Carnavales y ferias
93101500;Cuerpos políticos;931015;Cuerpos políticos
93131500;Programas de refugiados;931315;Programas de refugiados
93141500;Desarrollo y servicios sociales ;931415;Desarrollo y servicios sociales
93141506;Servicios de bienestar social;931415;Desarrollo y servicios sociales
93141700;Cultura;931417;Cultura
93141701;Organizaciones de eventos culturales;931417;Cultura
93151500;Administración pública;931515;Administración pública
93151501;Servicios financieros o de  gestión  administrativa de empresas  públicas;931515;Administración pública
93151503;Programas de privatización;931515;Administración pública
95121913;Universidad;951219;Edificios y estructuras educacionales y de administración
95122306;Gimnasio;951223;Edificios y estructuras de salud y deportivas
